# Values from mcmc DUSTY fits to precursor data 
# MJD : Modified Julian Date
# Tstar : Effective temperature of the star [K]
# Tstar_min : Lower limit of the effective temperature [K]
# Tstar_max : Upper limit of the effective temperature [K]
# L : Luminosity of the star [erg/s]
# L_min : Lower limit of the luminosity [erg/s]
# L_max : Upper limit of the luminosity [erg/s]
# tdust : Dust shell temperature at inner boundary [K]
# tdust_min : Lower limit of the dust shell temperature [K]
# tdust_max : Upper limit of the dust shell temperature [K]
# tau : Optical depth of the dust shell in the V band
# tau_min : Lower limit of the optical depth
# tau_max : Upper limit of the optical depth
# r1 : Inner radius of the dust shell [cm]
# r1_min : Lower limit of the inner radius [cm]
# r1_max : Upper limit of the inner radius [cm]
# rstar : Stellar photospheric radius [R_sun]
# rstar_min : Lower limit of the stellar photospheric radius [R_sun]
# rstar_max : Upper limit of the stellar photospheric radius [R_sun]
# 
MJD,Tstar,Tstar_min,Tstar_max,L,L_min,L_max,tdust,tdust_min,tdust_max,tau,tau_min,tau_max,r1,r1_min,r1_max
58757.536231884056,3810.9703538770814,3670.405800149224,3946.68566605424,9.027654680031e+37,8.448206687547448e+37,1.0219053498679896e+38,1066.784943925938,797.8201777102405,1319.6668384767684,0.3565680161084536,0.2793827207716604,0.4239795438105356,14.564263601227305,14.3414890312383,14.870437320116144
58793.289855072464,3791.0784178443673,3660.2852284443406,3936.333978622963,9.041978024506723e+37,8.441775034706962e+37,1.0063623178512017e+38,1105.894738619439,847.9737640076106,1339.2622003220256,0.35516923738926864,0.2723659154546084,0.42786503397693487,14.512919007982003,14.337519238768165,14.813951642162491
58829.04347826087,3825.497705228799,3680.226611778636,3953.770348381373,9.135670015123443e+37,8.550512557357114e+37,1.0220418876904792e+38,1093.224748306828,835.1915767796119,1333.6730095749062,0.3577525989187717,0.26949897888957663,0.4253258863895462,14.535535182567331,14.338152209715807,14.8329506236032
58864.79710144927,3827.5197252365865,3679.8170689212634,3946.786760163151,9.265483019865142e+37,8.691443270676202e+37,1.0463523553124611e+38,1087.8483263324556,809.5534456712957,1335.274981295778,0.36556815575878737,0.27777140240157894,0.4345700278034019,14.545438125508875,14.346034244161247,14.869610891700576
58900.55072463768,3841.095707592524,3691.0686713447913,3953.984190451773,9.431197598041407e+37,8.857014970102623e+37,1.051814037559028e+38,1091.1907276405495,826.6254759725668,1342.492870995099,0.3711560495532428,0.28571049426464534,0.4329288107583468,14.546510778553635,14.345747115117218,14.850233792126957
58936.30434782609,3815.8008414578785,3664.828409960197,3947.6610703654023,9.76103089994442e+37,9.12309017089209e+37,1.0995270528107358e+38,1093.2682665565417,827.3299170666096,1334.054797223521,0.3685328584719632,0.27667500586023813,0.4328779931159328,14.552783720162235,14.3585846424664,14.854190260327716
58972.057971014496,3811.9906176361906,3667.782785128176,3951.366273084376,1.0047676023004965e+38,9.411873875848788e+37,1.1359357297361855e+38,1081.3357540178822,838.2262432347795,1313.5999238897637,0.37010980365386414,0.29163144158463283,0.4315980400256545,14.569833025859754,14.376209471524572,14.8472161791621
59007.811594202896,3841.756595407213,3681.345188937416,3952.2793883903087,1.0291512056898703e+38,9.693914146489795e+37,1.15344834298834e+38,1098.9258140894472,853.0975556853539,1341.2552394104196,0.3822271289785176,0.30470202890345305,0.43613060149743865,14.559230383982555,14.378148156976346,14.839713882940968
59043.5652173913,3769.8463533043096,3644.4461756556097,3932.116059150836,1.0887654030299712e+38,1.008804658087478e+38,1.2284840749980947e+38,1082.4971572277157,823.7867996520891,1318.6553449926907,0.37152730505763176,0.27988057819217127,0.442714721525694,14.583703888193577,14.39058613289138,14.875274220156353
59079.31884057971,3727.665416486581,3629.0589222575663,3909.9208947070656,1.146677853679904e+38,1.0590330207744668e+38,1.2842187691621738e+38,1108.0011885859262,827.5194265784033,1357.5466663771826,0.3587530289587252,0.2620424480968746,0.437045285352676,14.561064051831275,14.393851501086427,14.882023953510409
59115.07246376811,3727.963849372063,3622.7967650957617,3917.183930901924,1.1787839366591928e+38,1.0888675564498023e+38,1.3160100064661687e+38,1077.3427750993403,802.1098519664889,1341.4309113578051,0.35079744667160506,0.24839714476596184,0.4320319694596612,14.597750003459431,14.39969979213638,14.916527031165897
