# Values from mcmc blackbody fits to eruption data 
# MJD : Modified Julian Date
# Tstar : Effective temperature of the star [K]
# Tstar_min : Lower limit of the effective temperature [K]
# Tstar_max : Upper limit of the effective temperature [K]
# L : Luminosity of the star [erg/s]
# L_min : Lower limit of the luminosity [erg/s]
# L_max : Upper limit of the luminosity [erg/s]
# r : Stellar photospheric radius [cm]
# r_min : Lower limit of the stellar photospheric radius [cm]
# r_max : Upper limit of the stellar photospheric radius [cm]
# 
MJD,Tstar,Tstar_min,Tstar_max,L,L_min,L_max,r,r_min,r_max
61011.80606481014,4126.119312155764,4031.911775543048,4222.919023705523,3.7611433790415274e+39,3.4869131143863005e+39,4.0320575765745596e+39,134903325883303.36,125164339081561.98,145057306343796.8
61013.24583330005,4168.386184211431,4092.6083204116735,4247.426092406536,4.047276087108922e+39,3.8088842022737014e+39,4.298832988261732e+39,137138109096656.92,128473517794869.98,146299387559897.9
61014.72660879977,4070.339212659133,3985.559321070431,4159.1838780655435,3.9028243604167455e+39,3.637136930701085e+39,4.1838557009268364e+39,141180660699852.2,131436531122749.14,151644616468791.56
61015.19972220017,4124.335673084161,4047.564974291116,4200.345467126139,4.1145698968486945e+39,3.8657910161216987e+39,4.3812689754951226e+39,141250869906882.06,132321660963829.31,150902294298983.97
61016.77787037008,4019.8455559016647,3937.1479753025415,4107.2054580270815,3.938677560178054e+39,3.656001025005971e+39,4.2199991583859453e+39,145470823098784.06,135189628897896.23,156098017468102.0
61017.11793980002,4039.0575339274455,3961.145038283852,4121.355424602068,4.0410381647897056e+39,3.766356779651162e+39,4.323333058435491e+39,145997136506478.3,135993679507065.56,156220131923926.97
61020.17025459977,4005.0660942354066,3935.374614776641,4079.580001024012,4.261811982603726e+39,3.9877876582329604e+39,4.54080314281625e+39,152450462416851.0,142560226393617.0,162394512640947.44
61022.15156249981,3945.7892462229806,3871.766605862512,4021.886960720494,4.2610021481693485e+39,3.979241301939214e+39,4.5569237424617897e+39,157108514045252.4,146705048168396.12,167850909912596.34
61023.63528935006,3885.8194645630897,3809.2877949071694,3966.9297316781326,4.219019090682265e+39,3.912990326718833e+39,4.5264740532481213e+39,161165464529327.9,149919350560966.16,172551242321464.5
61024.11396990017,3897.754441202996,3826.6020135445865,3973.465362972661,4.304606950546758e+39,4.007216558064144e+39,4.602832004160771e+39,161800233025320.8,150740937990724.2,172829650586757.4
