Wav(Angstrom) "Flux density (a.d.u.)"
3744.6465 1.38679e-17
3746.7522 1.31567e-17
3748.8584 2.04445e-17
3750.9646 1.82284e-17
3753.0715 1.6163e-17
3755.1787 9.28708e-18
3757.2861 2.36651e-17
3759.3938 7.41767e-18
3761.502 2.00254e-17
3763.6106 1.67065e-17
3765.7192 1.26012e-17
3767.8286 1.48057e-17
3769.938 1.55356e-17
3772.0479 1.91208e-17
3774.1582 1.81087e-17
3776.2686 1.85025e-17
3778.3794 1.62609e-17
3780.4905 1.1212e-17
3782.6023 9.08631e-18
3784.7141 1.01411e-17
3786.8262 1.31755e-17
3788.9387 2.16889e-17
3791.0518 1.81993e-17
3793.1648 1.30739e-17
3795.2783 1.67258e-17
3797.3923 1.936e-17
3799.5066 1.23271e-17
3801.6211 1.83829e-17
3803.7358 1.95222e-17
3805.8511 2.2377e-17
3807.9666 1.53745e-17
3810.0825 1.53596e-17
3812.1985 1.56759e-17
3814.3149 2.15286e-17
3816.4319 1.81991e-17
3818.5491 1.79853e-17
3820.6665 2.76561e-17
3822.7842 2.29529e-17
3824.9023 1.74344e-17
3827.0208 1.35609e-17
3829.1394 1.34333e-17
3831.2585 1.58249e-17
3833.3779 1.86687e-17
3835.4978 1.29565e-17
3837.6177 1.62318e-17
3839.738 1.33686e-17
3841.8586 1.56235e-17
3843.9797 1.3493e-17
3846.1011 1.18763e-17
3848.2227 1.40231e-17
3850.3445 2.17242e-17
3852.4668 1.87841e-17
3854.5894 1.87998e-17
3856.7122 2.66342e-17
3858.8352 1.64839e-17
3860.9587 1.70377e-17
3863.0825 1.8464e-17
3865.2065 1.52283e-17
3867.3311 2.56236e-17
3869.4558 1.32621e-17
3871.5808 2.58121e-17
3873.7061 2.31709e-17
3875.8318 2.52484e-17
3877.9578 1.63002e-17
3880.084 2.54718e-17
3882.2104 1.87724e-17
3884.3374 2.63817e-17
3886.4644 1.64338e-17
3888.5918 1.18231e-17
3890.7195 1.87757e-17
3892.8477 1.77805e-17
3894.9761 1.46469e-17
3897.1047 1.21372e-17
3899.2336 1.58228e-17
3901.3628 1.8537e-17
3903.4924 2.31438e-17
3905.6223 1.42061e-17
3907.7524 2.3976e-17
3909.8828 2.19209e-17
3912.0137 2.46561e-17
3914.1445 1.52764e-17
3916.2759 1.76647e-17
3918.4075 2.22283e-17
3920.5393 2.09919e-17
3922.6716 2.12593e-17
3924.8042 1.58019e-17
3926.9368 1.6521e-17
3929.0698 1.28851e-17
3931.2031 1.99137e-17
3933.3369 1.39451e-17
3935.4707 1.49897e-17
3937.605 1.39008e-17
3939.7395 2.51833e-17
3941.8743 1.79198e-17
3944.0093 1.74743e-17
3946.1445 2.29502e-17
3948.2803 2.0164e-17
3950.4163 2.10822e-17
3952.5525 1.8105e-17
3954.6887 1.77733e-17
3956.8257 2.00275e-17
3958.9626 1.90342e-17
3961.0999 2.55392e-17
3963.2375 1.34503e-17
3965.3755 1.62792e-17
3967.5134 1.45847e-17
3969.6519 1.33761e-17
3971.7905 1.62134e-17
3973.9297 1.17308e-17
3976.0688 8.12227e-18
3978.2085 1.69123e-17
3980.3481 1.64979e-17
3982.4883 1.85364e-17
3984.6284 1.78081e-17
3986.769 2.21768e-17
3988.9099 1.58283e-17
3991.0513 1.74444e-17
3993.1926 2.30575e-17
3995.3342 2.20478e-17
3997.4763 2.82834e-17
3999.6184 2.42695e-17
4001.761 3.2148e-17
4003.9038 2.51623e-17
4006.0466 2.99041e-17
4008.1899 2.5771e-17
4010.3335 2.12131e-17
4012.4773 2.76624e-17
4014.6213 2.19836e-17
4016.7656 2.79213e-17
4018.9104 2.51135e-17
4021.0552 2.6893e-17
4023.2002 3.51827e-17
4025.3457 3.05039e-17
4027.4912 2.83e-17
4029.6372 1.45202e-17
4031.7832 2.90764e-17
4033.9297 2.27901e-17
4036.0764 2.29766e-17
4038.2234 2.20376e-17
4040.3704 2.61267e-17
4042.5178 3.16474e-17
4044.6655 2.82334e-17
4046.8135 2.26387e-17
4048.9617 1.73191e-17
4051.1101 2.37942e-17
4053.2588 1.76418e-17
4055.4077 2.53946e-17
4057.5569 2.28017e-17
4059.7063 1.30638e-17
4061.856 3.03624e-17
4064.0059 2.55309e-17
4066.156 2.75977e-17
4068.3064 2.85705e-17
4070.4573 2.82963e-17
4072.6082 3.11665e-17
4074.7593 3.0126e-17
4076.9106 2.30954e-17
4079.0623 2.8415e-17
4081.2141 2.48015e-17
4083.3662 2.62198e-17
4085.5186 2.6524e-17
4087.6711 2.65983e-17
4089.8242 2.92423e-17
4091.9773 2.80623e-17
4094.1306 2.47533e-17
4096.2842 3.06648e-17
4098.438 2.90489e-17
4100.5918 2.68982e-17
4102.7461 2.6052e-17
4104.9009 2.19984e-17
4107.0552 2.63313e-17
4109.2104 2.69726e-17
4111.3657 2.40835e-17
4113.521 2.03851e-17
4115.6768 2.93699e-17
4117.8325 2.34085e-17
4119.9888 2.06532e-17
4122.145 2.51402e-17
4124.3018 2.77745e-17
4126.4585 2.62982e-17
4128.6157 2.91939e-17
4130.7729 2.79224e-17
4132.9307 2.56048e-17
4135.0884 3.09275e-17
4137.2461 1.89362e-17
4139.4043 2.35746e-17
4141.563 2.45687e-17
4143.7212 3.04022e-17
4145.8804 2.18417e-17
4148.0396 2.6623e-17
4150.1987 3.07641e-17
4152.3584 2.43648e-17
4154.5181 2.58717e-17
4156.6782 2.67729e-17
4158.8384 2.45643e-17
4160.9985 3.26839e-17
4163.1592 2.95545e-17
4165.3203 3.03405e-17
4167.481 2.98052e-17
4169.6426 2.95194e-17
4171.8037 2.87196e-17
4173.9658 2.5564e-17
4176.1274 2.52248e-17
4178.2896 3.0887e-17
4180.4521 2.93438e-17
4182.6147 3.29625e-17
4184.7773 2.63727e-17
4186.9404 2.22133e-17
4189.1035 2.76246e-17
4191.2671 2.48244e-17
4193.4307 2.22431e-17
4195.5947 2.85414e-17
4197.7583 3.1642e-17
4199.9229 3.08102e-17
4202.0874 2.69837e-17
4204.252 3.19195e-17
4206.417 2.64032e-17
4208.582 2.03435e-17
4210.7471 2.23534e-17
4212.9126 2.56768e-17
4215.0781 2.41905e-17
4217.2441 2.46364e-17
4219.4102 2.72387e-17
4221.5767 2.14481e-17
4223.7432 2.91182e-17
4225.9097 3.45135e-17
4228.0767 2.93341e-17
4230.2441 2.68716e-17
4232.4111 2.4344e-17
4234.5786 2.45284e-17
4236.7466 2.64913e-17
4238.9141 2.35184e-17
4241.0825 2.43163e-17
4243.2505 3.13682e-17
4245.4189 2.89961e-17
4247.5879 2.8629e-17
4249.7568 2.53245e-17
4251.9258 3.44558e-17
4254.0952 2.3372e-17
4256.2642 2.76329e-17
4258.4341 2.52171e-17
4260.604 2.25725e-17
4262.7739 2.64081e-17
4264.9443 2.43578e-17
4267.1143 2.60305e-17
4269.2852 2.67889e-17
4271.4561 3.03556e-17
4273.627 2.62381e-17
4275.7979 2.99502e-17
4277.9692 2.63291e-17
4280.1411 2.69998e-17
4282.3125 3.22808e-17
4284.4844 2.86039e-17
4286.6567 3.71488e-17
4288.8286 2.83541e-17
4291.0015 1.80558e-17
4293.1738 2.56016e-17
4295.3467 2.51536e-17
4297.5195 1.94803e-17
4299.6929 2.34898e-17
4301.8662 2.59971e-17
4304.04 2.55422e-17
4306.2134 1.66055e-17
4308.3872 2.05402e-17
4310.5615 2.82471e-17
4312.7358 2.3147e-17
4314.9102 2.48606e-17
4317.0845 2.60338e-17
4319.2593 2.80112e-17
4321.4346 3.11932e-17
4323.6094 2.55732e-17
4325.7847 2.09518e-17
4327.9604 2.25993e-17
4330.1357 2.3333e-17
4332.3115 2.39058e-17
4334.4878 2.61894e-17
4336.6636 3.25383e-17
4338.8403 2.91323e-17
4341.0166 2.45898e-17
4343.1934 2.16918e-17
4345.3701 2.40109e-17
4347.5469 1.91478e-17
4349.7241 1.94215e-17
4351.9014 1.39014e-17
4354.0791 2.27795e-17
4356.2568 2.53727e-17
4358.4346 2.93535e-17
4360.6123 2.41708e-17
4362.7905 3.65365e-17
4364.9692 3.46106e-17
4367.1475 3.41416e-17
4369.3262 3.92591e-17
4371.5049 3.19745e-17
4373.6841 2.97432e-17
4375.8628 2.99278e-17
4378.0425 2.49288e-17
4380.2217 2.12649e-17
4382.4014 2.439e-17
4384.5811 2.54638e-17
4386.7607 2.98939e-17
4388.9409 3.10895e-17
4391.1211 2.90423e-17
4393.3018 2.66923e-17
4395.4819 2.01194e-17
4397.6626 2.45139e-17
4399.8438 2.55932e-17
4402.0249 2.64208e-17
4404.2056 2.58301e-17
4406.3872 2.72245e-17
4408.5684 2.2148e-17
4410.75 2.19989e-17
4412.9321 2.93351e-17
4415.1138 2.97609e-17
4417.2959 3.5432e-17
4419.478 2.72152e-17
4421.6602 3.13601e-17
4423.8428 3.63197e-17
4426.0254 3.28507e-17
4428.2085 2.65843e-17
4430.3911 2.01122e-17
4432.5742 2.44301e-17
4434.7578 1.82023e-17
4436.9409 2.64584e-17
4439.1245 2.40679e-17
4441.3081 2.5357e-17
4443.4917 2.68098e-17
4445.6758 2.62509e-17
4447.8599 3.25883e-17
4450.0444 2.20944e-17
4452.2285 2.2741e-17
4454.4131 2.51116e-17
4456.5977 2.52e-17
4458.7822 2.11905e-17
4460.9673 2.94395e-17
4463.1523 2.26486e-17
4465.3374 2.47369e-17
4467.5229 2.30245e-17
4469.7085 2.9034e-17
4471.894 1.88655e-17
4474.0796 2.7173e-17
4476.2656 2.87806e-17
4478.4517 2.91907e-17
4480.6377 3.70047e-17
4482.8242 3.18132e-17
4485.0103 3.11049e-17
4487.1968 2.49617e-17
4489.3838 3.40562e-17
4491.5703 3.09746e-17
4493.7573 3.2199e-17
4495.9443 2.58066e-17
4498.1318 2.58261e-17
4500.3188 2.70371e-17
4502.5063 2.96562e-17
4504.6938 2.54773e-17
4506.8818 2.92563e-17
4509.0693 3.45805e-17
4511.2573 3.36438e-17
4513.4453 3.29721e-17
4515.6338 3.39565e-17
4517.8218 2.96959e-17
4520.0103 3.14168e-17
4522.1992 3.24594e-17
4524.3877 3.1501e-17
4526.5767 3.29183e-17
4528.7656 3.22538e-17
4530.9546 3.11646e-17
4533.1436 2.98632e-17
4535.333 2.46991e-17
4537.5225 2.46448e-17
4539.7119 2.27672e-17
4541.9014 2.71262e-17
4544.0913 3.45171e-17
4546.2812 3.77248e-17
4548.4712 3.10007e-17
4550.6611 2.67671e-17
4552.8516 2.96761e-17
4555.042 2.29114e-17
4557.2324 2.54985e-17
4559.4229 2.8013e-17
4561.6138 3.28304e-17
4563.8042 3.55701e-17
4565.9951 3.12709e-17
4568.1865 3.54365e-17
4570.3774 2.86223e-17
4572.5688 3.66922e-17
4574.7603 3.99784e-17
4576.9517 3.24612e-17
4579.1431 3.46317e-17
4581.335 4.0068e-17
4583.5264 3.31927e-17
4585.7183 3.57564e-17
4587.9106 3.15056e-17
4590.1025 2.9333e-17
4592.2949 3.09689e-17
4594.4873 3.36412e-17
4596.6797 3.00384e-17
4598.8721 3.06978e-17
4601.0649 2.78515e-17
4603.2578 3.02305e-17
4605.4502 3.7284e-17
4607.6436 2.88064e-17
4609.8364 2.72513e-17
4612.0298 3.44536e-17
4614.2227 3.41741e-17
4616.416 3.60269e-17
4618.6099 3.34482e-17
4620.8032 3.2757e-17
4622.9971 3.35664e-17
4625.1909 3.90832e-17
4627.3843 3.76361e-17
4629.5786 3.45453e-17
4631.7725 3.52373e-17
4633.9668 3.198e-17
4636.1611 3.35078e-17
4638.355 3.45432e-17
4640.5498 2.77635e-17
4642.7441 3.23574e-17
4644.939 2.80049e-17
4647.1333 3.39596e-17
4649.3281 3.05771e-17
4651.5234 2.98844e-17
4653.7183 2.59367e-17
4655.9131 2.6864e-17
4658.1084 3.07531e-17
4660.3037 2.91088e-17
4662.499 3.2536e-17
4664.6943 3.17123e-17
4666.8901 3.98905e-17
4669.0859 3.52863e-17
4671.2812 4.00868e-17
4673.4771 2.94034e-17
4675.6733 2.78413e-17
4677.8691 3.55174e-17
4680.0649 3.38471e-17
4682.2612 3.53135e-17
4684.4575 2.93604e-17
4686.6538 2.81026e-17
4688.8501 3.5975e-17
4691.0469 3.01332e-17
4693.2432 3.25894e-17
4695.4399 3.82254e-17
4697.6367 3.93095e-17
4699.8335 3.26198e-17
4702.0303 3.0091e-17
4704.2275 3.89372e-17
4706.4243 4.14185e-17
4708.6216 3.30536e-17
4710.8188 3.67548e-17
4713.0161 2.91767e-17
4715.2134 2.96932e-17
4717.4106 3.34138e-17
4719.6084 3.96086e-17
4721.8057 3.17915e-17
4724.0034 3.56106e-17
4726.2012 3.92209e-17
4728.3994 3.41147e-17
4730.5972 3.82156e-17
4732.7949 4.04929e-17
4734.9932 3.67237e-17
4737.1914 4.05948e-17
4739.3892 3.55437e-17
4741.5879 3.75164e-17
4743.7861 3.31616e-17
4745.9844 3.25713e-17
4748.1831 3.61826e-17
4750.3813 4.11217e-17
4752.5801 3.85949e-17
4754.7788 3.56133e-17
4756.9775 4.14785e-17
4759.1763 4.49874e-17
4761.3755 4.47356e-17
4763.5742 3.85588e-17
4765.7734 3.17922e-17
4767.9727 3.0272e-17
4770.1714 2.94454e-17
4772.3711 3.00168e-17
4774.5703 3.42458e-17
4776.7695 2.59571e-17
4778.9692 3.35969e-17
4781.1685 4.13587e-17
4783.3682 2.91815e-17
4785.5679 3.77353e-17
4787.7676 3.0653e-17
4789.9673 3.39346e-17
4792.167 3.4599e-17
4794.3667 3.64247e-17
4796.5669 3.86054e-17
4798.7666 2.80014e-17
4800.9668 3.46361e-17
4803.167 4.12576e-17
4805.3672 3.61464e-17
4807.5674 4.14325e-17
4809.7676 3.29159e-17
4811.9678 2.80439e-17
4814.1685 3.03892e-17
4816.3691 2.92259e-17
4818.5693 3.02323e-17
4820.77 3.61125e-17
4822.9707 3.65342e-17
4825.1714 3.43542e-17
4827.3721 3.34861e-17
4829.5728 3.29524e-17
4831.7739 2.56829e-17
4833.9746 3.19322e-17
4836.1753 4.00676e-17
4838.3765 3.55505e-17
4840.5776 3.61097e-17
4842.7788 4.0682e-17
4844.98 4.31063e-17
4847.1812 3.54194e-17
4849.3823 3.96204e-17
4851.5835 4.30516e-17
4853.7852 4.25819e-17
4855.9863 3.09086e-17
4858.188 3.48781e-17
4860.3896 3.05691e-17
4862.5908 3.81844e-17
4864.7925 4.24948e-17
4866.9941 3.7481e-17
4869.1958 4.51747e-17
4871.3975 4.94365e-17
4873.5996 3.88128e-17
4875.8013 4.20731e-17
4878.0034 3.78187e-17
4880.2051 4.21565e-17
4882.4072 3.44294e-17
4884.6094 3.30916e-17
4886.811 3.37935e-17
4889.0132 3.63794e-17
4891.2153 4.11639e-17
4893.4175 4.18475e-17
4895.6201 3.84361e-17
4897.8223 4.11326e-17
4900.0244 4.54882e-17
4902.2266 5.54614e-17
4904.4292 4.69139e-17
4906.6318 4.26027e-17
4908.834 4.19137e-17
4911.0366 4.88151e-17
4913.2393 5.17771e-17
4915.4419 4.82054e-17
4917.6445 4.51563e-17
4919.8467 4.26581e-17
4922.0498 3.88283e-17
4924.2524 4.23235e-17
4926.4551 4.0995e-17
4928.6577 4.18263e-17
4930.8608 3.69539e-17
4933.0635 5.61029e-17
4935.2666 5.90819e-17
4937.4692 5.25492e-17
4939.6724 4.89537e-17
4941.8755 4.34134e-17
4944.0786 4.5738e-17
4946.2817 4.66563e-17
4948.4844 4.68765e-17
4950.6875 5.78474e-17
4952.8906 5.29779e-17
4955.0942 5.35373e-17
4957.2974 5.21032e-17
4959.5005 4.40285e-17
4961.7036 2.85938e-17
4963.9072 3.06134e-17
4966.1104 3.1888e-17
4968.3135 3.34022e-17
4970.5171 4.60515e-17
4972.7207 3.30062e-17
4974.9238 3.41395e-17
4977.1274 3.75673e-17
4979.3311 4.04829e-17
4981.5342 4.26209e-17
4983.7378 3.54521e-17
4985.9414 3.65469e-17
4988.145 3.53911e-17
4990.3486 3.95021e-17
4992.5522 3.57191e-17
4994.7559 3.81732e-17
4996.9595 4.09393e-17
4999.1636 3.92314e-17
5001.3672 3.17481e-17
5003.5708 2.67561e-17
5005.7744 2.93826e-17
5007.9785 3.268e-17
5010.1821 3.18625e-17
5012.3862 4.05764e-17
5014.5898 3.65392e-17
5016.7935 3.77303e-17
5018.9976 3.12163e-17
5021.2017 3.17315e-17
5023.4053 2.74327e-17
5025.6094 3.30769e-17
5027.8135 4.38096e-17
5030.0171 4.15375e-17
5032.2212 4.37816e-17
5034.4253 4.14621e-17
5036.6294 3.56407e-17
5038.8335 4.30648e-17
5041.0376 4.10426e-17
5043.2417 3.45245e-17
5045.4453 3.32659e-17
5047.6494 3.4827e-17
5049.8535 3.81824e-17
5052.0581 4.9719e-17
5054.2622 4.38722e-17
5056.4663 4.49323e-17
5058.6704 4.01043e-17
5060.8745 4.65229e-17
5063.0786 4.18921e-17
5065.2827 3.53535e-17
5067.4868 3.2332e-17
5069.6914 3.13013e-17
5071.8955 3.4978e-17
5074.0996 4.33802e-17
5076.3037 4.88814e-17
5078.5083 5.09855e-17
5080.7124 5.05393e-17
5082.9165 5.12538e-17
5085.1211 4.64263e-17
5087.3252 4.52595e-17
5089.5293 4.41252e-17
5091.7339 4.47132e-17
5093.938 5.0279e-17
5096.1426 5.35366e-17
5098.3467 5.40203e-17
5100.5508 5.80384e-17
5102.7554 4.99816e-17
5104.9595 5.33794e-17
5107.1641 5.46231e-17
5109.3682 5.77699e-17
5111.5728 4.678e-17
5113.7769 4.38229e-17
5115.9814 3.93969e-17
5118.1855 4.38761e-17
5120.3901 4.81056e-17
5122.5942 5.01217e-17
5124.7988 6.45808e-17
5127.0029 5.63043e-17
5129.2075 5.25497e-17
5131.4116 4.38021e-17
5133.6162 4.77285e-17
5135.8203 3.95563e-17
5138.0249 5.3523e-17
5140.229 5.29243e-17
5142.4336 5.4346e-17
5144.6377 5.83023e-17
5146.8423 4.44389e-17
5149.0464 4.11156e-17
5151.251 4.26126e-17
5153.4551 4.12484e-17
5155.6597 4.1107e-17
5157.8638 4.08971e-17
5160.0684 4.965e-17
5162.2725 6.06894e-17
5164.4766 7.11813e-17
5166.6812 7.17503e-17
5168.8853 5.9707e-17
5171.0898 4.35187e-17
5173.2939 3.50133e-17
5175.4985 2.45628e-17
5177.7026 3.48657e-17
5179.9067 3.3772e-17
