MJD,mag,magunc,filter
58329.3548,20.2732,0.1965,ZTF-r
58329.3902,18.9875,0.1322,ZTF-i
58330.2237,20.1062,0.0785,ZTF-r
58331.4159,20.1739,0.1300,ZTF-r
58334.2241,20.1040,0.0835,ZTF-r
58335.4136,20.0467,0.0916,ZTF-r
58336.3876,20.0295,0.0796,ZTF-r
58344.8953,20.1123,0.0960,ZTF-r
58349.2574,21.5462,0.1325,ZTF-g
58351.9150,20.0344,0.1183,ZTF-r
58352.4109,21.5663,0.1668,ZTF-g
58353.3888,19.9991,0.0847,ZTF-r
58354.1943,20.0443,0.0704,ZTF-r
58354.9735,20.0967,0.0806,ZTF-r
58355.9624,20.0813,0.0586,ZTF-r
58357.0388,19.9635,0.0661,ZTF-r
58358.0833,19.8994,0.0875,ZTF-r
58359.1939,20.0619,0.0715,ZTF-r
58360.3242,20.1272,0.1028,ZTF-r
58361.3310,20.1920,0.0931,ZTF-r
58362.3536,20.0655,0.1314,ZTF-r
58363.3572,20.1344,0.1268,ZTF-r
58364.1936,20.1581,0.0762,ZTF-r
58364.3110,21.6683,0.2117,ZTF-g
58365.3741,20.0677,0.0888,ZTF-r
58366.3511,20.1734,0.1841,ZTF-r
58367.3805,20.1763,0.1304,ZTF-r
58368.3283,20.0915,0.0907,ZTF-r
58368.4202,21.4981,0.2821,ZTF-g
58369.4158,20.1027,0.1755,ZTF-r
58370.3058,20.2310,0.1912,ZTF-r
58370.3665,21.6990,0.2136,ZTF-g
58371.3623,20.1534,0.1109,ZTF-r
58372.3552,20.1331,0.0826,ZTF-r
58372.4628,21.5932,0.2915,ZTF-g
58373.3209,20.1305,0.1032,ZTF-r
58374.1119,20.2170,0.0945,ZTF-r
58374.3069,19.3126,0.1524,ZTF-i
58375.3103,21.8150,0.3135,ZTF-g
58375.3547,20.1470,0.1809,ZTF-r
58377.3542,21.6257,0.2947,ZTF-g
58377.3715,20.1607,0.1287,ZTF-r
58378.3503,21.9941,0.3312,ZTF-g
58378.4057,20.0398,0.1188,ZTF-r
58379.3571,20.1457,0.0834,ZTF-r
58379.3723,21.8161,0.3136,ZTF-g
58379.4530,21.7221,0.3043,ZTF-g
58380.3091,19.8545,0.1126,ZTF-r
58382.3480,20.1276,0.0890,ZTF-r
58383.3594,20.2472,0.0889,ZTF-r
58384.1963,20.2205,0.1342,ZTF-r
58385.2876,20.0670,0.1210,ZTF-r
58386.3725,20.0128,0.0950,ZTF-r
58387.3579,19.0872,0.0638,ZTF-i
