ra,dec,x_image,y_image,mjd,flux_bkg,local_bkg_flg,flags,fit_ql,deep_flg,det_id,lvf_id,obs_publisher_did,lambda,lambda_width,flux,flux_err
9.7025100,40.7689480,1257.4317626953125,778.767578125,61033.664980055,0.4137214124202728,True,2097152,5.62025260925293,False,2,202552101053912,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0539_1/D2,1.4056743383407593,0.0338728204369545,12611.5419921875,125.80477142333984
9.7025100,40.7689480,1256.0260009765625,663.393798828125,61033.6664723235,0.3997623324394226,True,2097152,4.600426197052002,False,2,202552101053922,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0539_2/D2,1.4396284818649292,0.0352904349565506,13917.44140625,128.3097686767578
9.7025100,40.7689480,1254.6304931640625,548.0761108398438,61033.6679645805,0.4281158447265625,True,4565499905,5.934470176696777,False,2,202552101053932,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0539_3/D2,1.4743016958236694,0.035838622599840164,13254.9833984375,148.84353637695312
9.7025100,40.7689480,1253.1893310546875,432.6700134277344,61033.669456837495,0.4161272943019867,True,2097152,5.855626106262207,False,2,202552101053942,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0539_4/D2,1.5099759101867676,0.03738471120595932,13531.3330078125,126.8797607421875
9.7025100,40.7689480,1251.0540771484375,317.2989501953125,61036.0415200895,0.3993861675262451,True,2097152,5.409799575805664,False,2,202552201031612,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0316_1/D2,1.546993374824524,0.037995412945747375,15537.482421875,141.39263916015625
9.7025100,40.7689480,1249.7679443359375,201.8148193359375,61036.043012358,0.4300098717212677,True,2097152,7.827620983123779,False,2,202552201031622,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0316_2/D2,1.5840872526168823,0.038039036095142365,14478.025390625,131.34512329101562
9.7025100,40.7689480,1248.48828125,86.27458190917969,61036.0445046035,0.4116668999195099,True,2228224,4.560976505279541,False,2,202552201031632,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0316_3/D2,1.6223666667938232,0.03919472172856331,15738.0908203125,133.57693481445312
9.7025100,40.7689480,483.76678466796875,2004.9796142578125,61032.715639568996,0.4130382835865021,True,2097152,7.34548282623291,False,3,202552101034423,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0344_2/D3,1.6329938173294067,0.03886690363287926,13736.2724609375,138.8105926513672
9.7025100,40.7689480,483.14447021484375,1890.4925537109375,61032.717131837504,0.38962772488594055,True,2097152,4.4247355461120605,False,3,202552101034433,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0344_3/D3,1.6704254150390625,0.039655476808547974,15211.5888671875,138.87884521484375
9.7025100,40.7689480,482.47601318359375,1775.8948974609375,61032.718624083,0.3782234489917755,True,2097152,4.886046886444092,False,3,202552101034443,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0344_4/D3,1.7091306447982788,0.041131045669317245,13548.5419921875,138.81451416015625
9.7025100,40.7689480,481.04864501953125,1661.39794921875,61034.005107555,0.36174657940864563,True,2097152,4.84893798828125,False,3,202552101060713,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0607_1/D3,1.7489491701126099,0.0425192229449749,14638.3212890625,131.50399780273438
9.7025100,40.7689480,480.4593505859375,1546.71142578125,61034.006599812,0.3617599606513977,True,4565499909,5.336935043334961,False,3,202552101060723,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0607_2/D3,1.7891080379486084,0.04392852634191513,14102.81640625,128.4617919921875
9.7025100,40.7689480,479.83038330078125,1431.9681396484375,61034.008092069,0.3363821506500244,True,2097152,6.627508163452148,False,3,202552101060733,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0607_3/D3,1.8313429355621338,0.04519015923142433,13449.486328125,124.85755157470703
9.7025100,40.7689480,479.15771484375,1317.1767578125,61034.009584326,0.3416818380355835,True,2097152,5.170169830322266,False,3,202552101060743,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0607_4/D3,1.8742821216583252,0.04568446800112724,14460.3173828125,131.64295959472656
9.7025100,40.7689480,478.2001647949219,1202.4873046875,61036.3148159345,0.3437768220901489,True,2097152,4.562136173248291,False,3,202552201036613,ivo://irsa.ipac/spherex_qr2?2025W52_2A_0366_1/D3,1.9178262948989868,0.0473066046833992,14082.375,128.6138458251953
9.7025100,40.7689480,833.5032958984375,1138.8206787109375,61027.2141583075,0.33383238315582275,True,2097152,5.543321132659912,False,3,202551101068413,ivo://irsa.ipac/spherex_qr2?2025W51_1A_0684_1/D3,1.936486005783081,0.04638838395476341,12117.3642578125,123.72918701171875
9.7025100,40.7689480,833.0208740234375,1023.723876953125,61027.215650564,0.33616963028907776,True,2097152,6.467140197753906,False,3,202551101068423,ivo://irsa.ipac/spherex_qr2?2025W51_1A_0684_2/D3,1.9809523820877075,0.048946063965559006,11743.736328125,118.15200805664062
9.7025100,40.7689480,832.446533203125,908.7969970703125,61027.2171428095,0.3053358495235443,True,2097152,4.785789489746094,False,3,202551101068433,ivo://irsa.ipac/spherex_qr2?2025W51_1A_0684_3/D3,2.0267457962036133,0.04978698864579201,11728.7421875,116.0317153930664
9.7025100,40.7689480,831.861572265625,793.8442993164062,61027.218635078,0.31875813007354736,True,2097152,6.679561138153076,False,3,202551101068443,ivo://irsa.ipac/spherex_qr2?2025W51_1A_0684_4/D3,2.0738251209259033,0.052019909024238586,10800.392578125,114.7286605834961
9.7025100,40.7689480,830.9680786132812,678.623779296875,61028.775998249504,0.3042581379413605,True,2097152,6.010080337524414,False,3,202551201025813,ivo://irsa.ipac/spherex_qr2?2025W51_2A_0258_1/D3,2.122258186340332,0.053591806441545486,11351.4013671875,115.20256042480469
9.7025100,40.7689480,830.4094848632812,563.5802001953125,61028.7774905065,0.29446062445640564,True,2097152,4.670535564422607,False,3,202551201025823,ivo://irsa.ipac/spherex_qr2?2025W51_2A_0258_2/D3,2.1720149517059326,0.0548199862241745,11294.201171875,116.13472747802734
9.7025100,40.7689480,829.8590087890625,448.57196044921875,61028.7789827635,0.2888312041759491,True,4565499905,6.046736717224121,False,3,202551201025833,ivo://irsa.ipac/spherex_qr2?2025W51_2A_0258_3/D3,2.2222084999084473,0.05539580062031746,10769.099609375,114.234375
9.7025100,40.7689480,829.2759399414062,333.4591979980469,61028.78047502,0.2719391882419586,True,2097152,3.443812370300293,False,3,202551201025843,ivo://irsa.ipac/spherex_qr2?2025W51_2A_0258_4/D3,2.2740120887756348,0.056567635387182236,10633.1533203125,113.6187515258789
