wavs,fluxes,fluxerrs
5.052400091517484,0.0032448680859575455,5.092974809025667e-05
5.053200091497274,0.0030144804322759706,5.118779779142147e-05
5.054000091477064,0.0031697087229455123,5.2531452069067445e-05
5.054800091456855,0.003312056825317751,5.33686813913325e-05
5.055600091436645,0.0035045848752056716,5.267876197567556e-05
5.056400091416435,0.003485029291373069,5.360777990986809e-05
5.057200091396226,0.0032989848771457705,5.337724204950799e-05
5.058000091376016,0.0030622819653713987,5.376209319323167e-05
5.058800091355806,0.00303767574896504,5.333017396764389e-05
5.0596000913355965,0.0032516604483303823,5.3146638096092684e-05
5.060400091315387,0.0032201253567309624,5.2093516523575624e-05
5.061200091295177,0.0032640987009691412,5.085045373936841e-05
5.062000091274967,0.003256922191706331,5.107537660124005e-05
5.062800091254758,0.0033218973544673724,5.1357924281926416e-05
5.063600091234548,0.0033732466884130938,5.290189937275146e-05
5.064400091214338,0.0033109296993296864,5.356593461014659e-05
5.065200091194129,0.0031825084886296135,5.42010870965478e-05
5.066000091173919,0.0028375563243855455,5.446889194405902e-05
5.066800091153709,0.0030019058184721703,5.28322804798363e-05
5.0676000911334995,0.0032419597171101312,5.2062251381462376e-05
5.06840009111329,0.003208254295811379,5.0949282706609224e-05
5.06920009109308,0.003106105897454932,5.0109880061849436e-05
5.07000009107287,0.0030985636949867577,5.062786023378867e-05
5.070800091052661,0.003268494137840314,5.21227408083327e-05
5.071600091032451,0.0032860092813258453,5.438257572448953e-05
5.072400091012241,0.0036186191860572456,5.669434921697044e-05
5.073200090992032,0.0036291165159716386,5.661302112413598e-05
5.074000090971822,0.0033863698299591224,5.417590712898702e-05
5.074800090951612,0.0035054926591817463,5.1595127618863065e-05
5.0756000909314025,0.0033620792660630718,4.935386599428866e-05
5.076400090911193,0.0033600657420670608,4.974241248969466e-05
5.077200090890983,0.0034048953242637866,5.135381231162194e-05
5.078000090870773,0.0035618174095940727,5.43748079064659e-05
5.078800090850564,0.003433061289076127,5.655104756448351e-05
5.079600090830354,0.003250946178754492,5.565171457274183e-05
